MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338075892,2024-01-01T00:00:03,43.65322,-70.25298,0.0,358.8,511.0,PILOT BOAT SPRING PT,,WDB8945,90,0,0,0,0.0,90,A
367669550,2024-01-01T00:00:04,46.20031,-123.38573,0.0,281.9,141.0,ALASKA CHALLENGER,IMO7938024,WDH9586,30,15,30,8,0.0,30,A
367118980,2024-01-01T00:00:06,29.98534,-90.40674,0.0,30.1,296.0,CAPT J A MORGAN,IMO1186680,WDD2725,31,12,115,34,3.0,57,A
367177840,2024-01-01T00:00:05,39.88654,-75.17649,0.0,304.4,511.0,BART TURECAMO,IMO7338808,WBR4464,52,15,33,5,0.0,52,A
367305420,2024-01-01T00:00:06,18.33273,-64.95229,0.0,332.6,511.0,DOROTHY MORAN,IMO7716995,WXU4654,52,0,33,11,0.0,52,A
338239081,2024-01-01T00:00:05,38.95731,-76.48410,0.1,111.3,511.0,JAHAZI,IMO0000000,,36,,12,4,,,B
367507960,2024-01-01T00:00:02,33.75386,-118.22404,0.0,281.8,511.0,DB SALTA VERDE,,WDF9705,90,3,56,15,2.0,90,A
636018568,2024-01-01T00:00:04,29.27798,-94.59552,10.5,140.7,143.0,VIVIT ALTAIS,IMO9840879,D5QH3,80,0,230,32,11.8,80,A
366847780,2024-01-01T00:00:03,30.18136,-87.67583,7.6,259.0,262.0,PACIFIC DAWN,IMO7400467,WDA7844,31,0,30,8,5.0,31,A
367468580,2024-01-01T00:00:04,29.97021,-90.24457,0.0,144.3,511.0,EMMA CLAIRE,,WDF5910,31,0,20,7,2.0,31,A
367072840,2024-01-01T00:00:02,29.57720,-90.60772,0.0,305.7,178.0,KELLY MORRISON,IMO8216485,WDC7532,34,0,60,18,13.3,34,A
368001250,2024-01-01T00:00:08,29.73652,-95.27787,0.1,351.4,161.0,GRAND ANN,IMO0639580,WDJ6890,52,3,97,36,3.0,52,A
366997450,2024-01-01T00:00:03,30.52843,-88.11744,0.0,306.2,511.0,LA BELLE,IMO0000097,WDC2767,31,0,20,16,2.5,31,A
367767310,2024-01-01T00:00:06,27.84387,-97.06975,1.4,314.5,511.0,MICHAEL W BEHRENS,,WDJ3363,60,0,48,16,3.3,60,A
367002380,2024-01-01T00:00:00,30.11553,-90.99878,3.0,16.2,511.0,FREEDOM_II,,WDN7105,31,15,20,9,9.0,31,A
366952790,2024-01-01T00:00:00,40.70003,-74.01225,0.4,303.0,160.0,GUY V MOLINARI,IMO9333486,WDB8295,60,0,100,24,4.0,60,A
367691010,2024-01-01T00:00:00,41.32739,-70.11074,14.6,334.3,333.0,WOODS HOLE,IMO9792931,WDI3700,60,0,70,18,4.0,60,A
368102470,2024-01-01T00:00:01,30.06230,-90.87162,5.7,285.2,511.0,JOANNE C,,WDK9314,52,0,23,8,3.0,52,A
368327980,2024-01-01T00:00:01,40.64431,-74.11334,0.0,360.0,511.0,HENRY GIRLS,,WDN9539,52,0,75,26,0.0,52,A
368055190,2024-01-01T00:00:00,29.42377,-94.72035,0.0,138.4,47.0,BRADY DAWSON,IMO1289289,WDK4438,52,12,119,34,3.0,52,A
367705050,2024-01-01T00:00:00,47.60772,-122.38415,5.2,308.1,302.0,C E,,WDI5089,31,0,30,10,3.7,31,A
367390740,2024-01-01T00:00:06,40.94998,-73.06836,0.0,0.0,511.0,SEAWOLF,IMO8853489,WDE7235,90,0,24,6,3.5,90,A
367409290,2024-01-01T00:00:07,43.20646,-70.44982,10.6,212.1,212.0,TIMOTHY L REINAUER,IMO7902049,WDE8763,52,0,138,24,8.3,57,A
316036661,2024-01-01T00:00:05,48.43215,-123.42844,0.0,360.0,511.0,PARKSVILLE,,CGKC,52,12,13,5,0.0,52,A
367526740,2024-01-01T00:00:03,29.76507,-91.73913,0.0,333.5,511.0,CAPT SHAWN D MARTINE,,WDG3504,52,12,26,10,2.9,52,A
369580000,2024-01-01T00:00:01,48.59628,-122.60380,11.0,78.8,75.0,SOUND RELIANCE,IMO9277369,WXAE,52,0,183,23,6.4,57,A
366982340,2024-01-01T00:00:05,47.26237,-122.38850,0.0,254.7,35.0,BRYNN FOSS,IMO8127567,WTT8531,52,0,30,11,6.0,52,A
477136800,2024-01-01T00:00:06,34.45367,-120.91487,13.4,284.7,283.0,COSCO KAOHSIUNG,IMO9355563,VREM3,71,0,349,46,13.8,71,A
316041898,2024-01-01T00:00:00,48.65237,-123.44927,0.0,218.4,58.0,CADBORO BAY,,,51,0,19,6,1.8,51,A
367316630,2024-01-01T00:00:04,30.70531,-88.03956,0.0,239.1,349.0,SAVANNAH,IMO9269738,WDD9810,52,0,28,10,0.0,52,A
369493667,2024-01-01T00:00:06,37.81045,-122.36070,0.1,360.0,511.0,CG45667,,,51,0,14,4,1.0,51,A
368171390,2024-01-01T00:00:09,33.74635,-118.20791,2.9,358.9,5.0,BROOKS M HAMILTON,,WDL8631,52,0,26,10,2.6,52,A
367186360,2024-01-01T00:00:06,29.84020,-91.95658,4.5,79.6,77.0,CAPT TIMMY CALLAIS,,WDD7434,31,12,27,9,3.1,31,A
636022875,2024-01-01T00:00:07,46.17595,-124.60901,15.9,353.4,352.0,MSC ATHOS,IMO9618317,5LKV7,71,0,300,48,10.3,71,A
367653490,2024-01-01T00:00:05,30.32442,-87.33286,0.0,189.8,511.0,CHRISTI C,IMO0000041,WDH7980,31,0,30,14,2.2,31,A
367022790,2024-01-01T00:00:04,40.53144,-74.25279,0.0,305.3,199.0,QUENAMES,,WTU9038,52,0,25,9,3.0,52,A
367005470,2024-01-01T00:00:04,28.86339,-96.02809,0.0,360.0,194.0,CREOLE RIVERS,IMO0590667,WDC3300,31,15,111,8,3.0,57,A
303390000,2024-01-01T00:00:02,40.67505,-74.07211,0.1,276.5,300.0,RN WEEKS,IMO8516079,WBV3250,33,5,90,18,6.1,33,A
367154130,2024-01-01T00:00:01,29.08452,-88.70500,0.3,360.0,511.0,MR SEAMAN,IMO8964276,WCZ3468,60,0,43,9,0.0,60,A
368058110,2024-01-01T00:00:01,27.81828,-97.47346,5.5,107.2,105.0,MARK E. KUEBLER,IMO9866110,WDK4725,52,0,30,13,6.2,52,A
366945650,2024-01-01T00:00:08,35.47684,-90.00378,6.1,324.5,326.0,SALLY ARCHER,,WDB7650,31,12,488,55,3.1,57,A
367780660,2024-01-01T00:00:07,29.76395,-95.09827,0.0,244.2,231.0,CAPT THOMAS PAUL,,WDJ4740,52,0,21,9,2.8,57,A
367534010,2024-01-01T00:00:00,30.34199,-88.50761,0.0,287.0,271.0,SOPHIA GOLDING,,WDG4196,31,0,212,17,3.0,57,A
366971330,2024-01-01T00:00:05,43.95251,-86.79837,10.2,197.5,195.0,EDGAR B SPEER,IMO7625952,WDH7562,79,0,306,32,7.3,79,A
303599000,2024-01-01T00:00:04,47.65870,-122.38078,0.0,255.6,182.0,MYSTERY BAY,IMO7366831,WBD2473,30,0,30,12,2.2,37,A
369629000,2024-01-01T00:00:03,21.30506,-157.86469,0.0,360.0,511.0,MAJESTIC,IMO8986016,WDI7186,60,0,50,10,0.0,0,A
